ID,分类,英文原词,中文直译,CNSH建议命名,人话解释,文化出处,龍魂场景,CNSH用法示例,关联术语
CODE-001,编程执行层,function,函数,术,一个输入进去、输出出来的黑盒子——给它东西，它给你结果,《说文》「术，邑中道也」——方法是通往结果的路,审计规则术,术 审迹(数据) → 返 结果,"CODE-002, CODE-015, CODE-026"
CODE-002,编程执行层,callback,回调,回响,A做完后自动叫B来接手——事情干完了，叫下一个来,空谷回响·声应气求——一言既出，必有回响,触发审计后回响日志,"审迹(数据, 回响=报日志)","CODE-001, CODE-003, CODE-006"
CODE-003,编程执行层,async/await,异步等待,候令,不等这件事做完，先去干别的，完了再回来——先放着，好了叫我,候令——古代将士等候将令再行动，不空等,多设备并行采集,候令 术 取迹(用户本命),"CODE-002, CODE-004, CODE-008"
CODE-004,编程执行层,promise,承诺,誓约,"""我保证以后会给你结果""——君子一言，说到做到",《礼记》「约信曰誓」——誓约不可背,数据采集誓约,誓约 取迹(本命).然后(处理).否则(报错),"CODE-003, CODE-002"
CODE-005,编程执行层,event loop,事件循环,轮转台,一个不停转圈的调度员，谁有事叫谁——周而复始，应接不暇,《周易》「变动不居，周流六虚」——轮转不息,龍魂中枢调度,轮转台.运转() — 中枢不息,"CODE-003, CODE-008"
CODE-006,编程执行层,middleware,中间件,传令官,夹在请求和响应之间的处理层——上传下达，中间过滤,古代军中传令官·承上启下·过滤军情,数据清洗传令官,传令官(审迹术) → 请求过传令官再到术,"CODE-007, CODE-005"
CODE-007,编程执行层,pipeline,管道,流水线,数据像水一样流过一串处理站——川流不息，一站一加工,都江堰水利·分水鱼嘴→飞沙堰→宝瓶口，逐级处理,七因子审计流水线,"流水线([洗数据, 审迹, 签印])","CODE-006, CODE-022"
CODE-008,编程执行层,thread,线程,分身,同一个程序同时干多件事——一人化千身,孙悟空拔毫毛变分身·道家身外化身,多路数据采集分身,"分身(取迹, 用户册)","CODE-009, CODE-003"
CODE-009,编程执行层,process,进程,独立营,一个完全独立的运行单元——各自为营，互不干扰,古代军队编制·营为独立作战单位,龍魂各模块独立营,独立营('审迹引擎') — 独立运行,"CODE-008, CODE-010"
CODE-010,编程执行层,daemon,守护进程,暗卫,后台默默运行的服务——暗中守护，不现于前,古代暗卫/锦衣卫·暗中巡查·不惊动前朝,行为采集暗卫,暗卫('行为采集') — 后台长驻,"CODE-009, AUDIT-001"
CODE-011,编程执行层,fork,分叉,裂变,复制一个自己出来干活——一生二,《道德经》「道生一，一生二，二生三，三生万物」,分布式节点裂变,裂变() → 新独立营,"CODE-009, CODE-008"
CODE-012,编程执行层,signal,信号,烽火,进程之间传消息的方式——烽火传讯，一呼百应,周幽王烽火戏诸侯·烽火台传军情,异常告警烽火,烽火(SIGTERM) → 暗卫.收兵(),"CODE-010, DEVOPS-011"
CODE-013,编程执行层,exit code,退出码,归报,程序跑完返回的数字状态——战罢归营，报上战果,古代军报·胜败以数报,审计任务归报,归报(0) — 功成身退,"CODE-009, AUDIT-001"
